country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua y Barbuda,1.58317581006926,1.59323222110786,1.68185464150352,1.75830649139607,1.78375082204179,1.73809343613613,1.78825882234923,2.56680488349973,2.3374418648223,1.85896916668247,1.63626757248435,2.04043579694529,2.1851587391074,2.64328836614579,3.07695280204262
Argentina,0.210933764847302,0.195029381449765,0.188764794272549,0.152091367663287,0.131540527110554,0.105778682207302,0.0969166746867399,0.0960152008279335,0.0831331023452092,0.0702344413905104,0.0745674463680268,0.0995468463330137,0.125380829847712,0.168859323682241,0.18709779212539
Bahamas,,,,,,,,,,,,,,,
Barbados,2.96692261444727,2.1141532772373,2.56347681538393,1.80728679944007,3.16236089882528,3.30404925282105,4.08320492584997,4.01837997662659,4.19156060049986,3.25915943205319,1.70981376042491,0.0,0.0,0.0,
Belice,4.31127731053534,4.42388683129957,4.67589417452774,4.49436695957505,4.13979410951367,3.99083797626182,3.66601184381398,3.75745639026482,3.83370615416339,4.28031909149021,3.94639178902548,3.99623061702093,4.00648665915525,5.80209708739885,5.43286762982854
Bolivia,8.04384028026712,6.80518383772234,6.10109847905471,4.88667055237071,4.35252343870871,4.10025014391943,3.91834762999268,3.56697642694154,3.60894254331553,3.67293280726104,3.75379354618561,3.44592381351016,3.26594853409464,3.07541011212526,3.50696166649314
Brasil,0.236613773542256,0.214797277571294,0.173312850175054,0.139564554210722,0.122872880657814,0.112935455382564,0.109902437055945,0.107814144381917,0.160741696100012,0.152574832586262,0.130785576210437,0.153029231113982,0.171551034942845,0.246190665007221,0.254945023236565
Canadá,0.0801649824196723,0.0836716563310317,0.0870378903831614,0.0741436713060295,0.0684395668583124,0.0686186551035798,0.0723784507605154,0.0748334365365903,0.0818662480322062,0.0843801895863589,0.0768939488154854,0.0750910157999639,0.0753025969932129,0.049946563290965,0.0418190164007234
Chile,0.0,0.0,0.0303000134980454,0.0287072165684102,0.0282286485291149,0.026959784975936,0.0256486376660539,0.0233660335055792,0.0243270230202015,0.0258930782858433,0.0240774951806411,0.0236480103701157,0.0249018568207578,0.0280645388409167,0.0220496135293908
Colombia,2.16323360017317,1.99302697230738,1.77491436096236,1.40661736598063,1.22447853747123,1.08343049423298,1.16452340976978,1.09304610344522,1.70422741443715,1.83574883698,1.86568681438868,1.99734137781356,2.20213937143252,2.56179301569264,2.73744060178129
Costa Rica,2.2984079404838,1.96342384931916,1.66882417016098,1.40920952289996,1.21652908267422,1.19060571220148,1.17056535445289,1.14180389680393,0.977976175485651,0.926850348190746,0.925980262178951,0.854707228480297,0.859046867655251,0.844278659215416,0.924250399911075
Cuba,,,,,,,,,,,,,,,
Dominica,5.33554069138882,4.95130586609115,4.52661946232487,4.63509408773522,4.56466198984306,4.78376043103514,4.72633135127098,9.7066380510223,10.3429578804022,7.64169723340006,8.50372228941408,7.59619125718876,7.76830831508639,11.6081364106098,11.7423052581116
Ecuador,6.55064386239806,5.00081178419606,4.38651629027695,3.73663047264203,3.38131828678572,2.81630799450655,2.58468611689305,2.4304910685218,2.4046195290585,2.61370729603577,2.73171775230461,2.82542002086851,2.99948574296015,3.36756804518592,4.11379094349227
El Salvador,21.8028715446677,20.8749261267512,19.3296980618829,18.8196648675298,17.96484307191,18.3017912730119,18.0368594542296,18.4140727443948,18.2378057227401,18.8561820072362,20.0020638968604,20.720840026323,21.0435800685611,24.1453117608492,26.0586874360585
Estados Unidos,0.0360571934808977,0.0363172078724272,0.0396461821808818,0.0394047047028826,0.0391288870669506,0.0387782131703568,0.0392621564568635,0.0370526950267928,0.0361309046802651,0.0338591199244413,0.0325865910055647,0.0338040258424814,0.0329685602788545,0.0314665288244484,0.0295902902082874
Granada,3.7729741139831,3.49287668779557,3.58530683178035,3.69320525688226,3.71779267312952,3.66233312763948,3.51829784196499,4.49822744344893,4.34848478558055,4.2453279509006,4.19947860986267,4.11428569666937,5.22176645161998,6.75002057358495,6.58757475940735
Guatemala,12.6198064151269,11.4940333115688,10.779941560258,10.3860632540983,9.67027447517279,10.0118523620413,10.0076864444103,9.94158063209144,10.4233702320772,11.1464932742804,11.7144421222889,12.8704878654056,13.8078828633965,14.6929051835705,17.9187507608738
Guyana,10.1976910301247,9.05385123861374,8.27838696778933,10.7140902913674,11.1665425364523,11.5493011194779,7.87352171624886,7.9865624936025,7.07441175191082,6.00473270243846,6.78872751636501,6.96988512725091,7.35168208159438,7.84324402383133,6.81050686120925
Haití,12.8333444847946,13.0636579298664,11.8612151044961,12.4274016762281,11.9255570592173,11.761140118684,11.9510039949636,13.0589825157842,14.8017081013962,16.8621524704625,17.3865513423981,18.0263249721353,20.4665385257395,23.8160043872963,20.0358824440112
Honduras,21.1438409427367,20.3241959781801,16.9826205436393,16.5278735126143,15.869805448148,15.7614146958528,16.7475020988623,17.0552239299767,17.4749375894042,17.7908020796118,18.6839480630333,19.8462267433579,21.5283803424423,23.4542716871092,25.2852348047994
Jamaica,16.5793632542741,15.7307334552502,15.5892945713286,15.327991422411,14.577064781853,14.642560685326,15.2261404376379,16.3230999578108,16.6413738358773,17.2863812244776,16.6296119222867,15.9026616350953,16.1870984763823,22.2037295552885,25.2885976331928
México,2.55343004544583,2.34610322131051,2.45273585159605,2.08737304881148,1.9860963183513,1.93229894853011,1.81952511124945,1.88558627046974,2.23857811407087,2.6602880018257,2.78454954618961,2.92606156733621,3.07497461292527,3.93192753720357,4.2527204296726
